price,competitor_price,demand,season,promotion,stock,rating,competitor_stock
179.11,192.98,446.0,Holiday,0,80,3.38,1
51.04,55.07,479.0,Weekend,1,30,3.0,0
126.61,133.89,335.0,Regular,0,116,4.74,1
112.61,132.35,402.0,Weekend,0,46,4.53,1
83.32,72.61,459.0,Holiday,0,54,3.44,1
67.98,72.94,476.0,Regular,1,37,3.0,0
100.64,99.06,430.0,Weekend,0,87,3.98,1
191.44,173.01,399.0,Holiday,1,60,3.83,0
98.48,79.06,485.0,Holiday,0,115,4.55,1
127.82,112.59,357.0,Weekend,1,190,3.81,0
155.45,161.42,478.0,Holiday,1,196,4.73,1
104.54,107.23,421.0,Regular,1,158,3.19,0
195.77,197.9,347.0,Weekend,0,86,3.73,1
194.37,175.64,242.0,Regular,1,198,4.87,0
87.77,86.54,423.0,Holiday,1,71,3.02,1
124.59,141.57,422.0,Weekend,0,138,3.78,0
95.13,91.04,371.0,Regular,0,104,3.52,1
92.73,97.72,464.0,Regular,1,190,4.06,1
55.53,66.73,430.0,Regular,0,89,3.56,0
141.43,152.79,416.0,Regular,1,176,4.74,1
125.4,126.17,391.0,Weekend,0,178,4.87,0
57.72,72.04,453.0,Weekend,0,47,4.7,1
91.8,87.45,377.0,Regular,0,126,3.8,0
186.24,201.79,426.0,Holiday,0,197,4.98,1
85.93,75.54,472.0,Holiday,0,55,4.47,1
71.73,62.94,442.0,Weekend,1,111,3.71,1
123.42,105.54,300.0,Regular,0,166,3.19,1
197.85,209.67,401.0,Weekend,1,31,4.33,1
86.31,82.99,486.0,Holiday,1,95,4.46,1
150.82,139.98,370.0,Weekend,0,43,3.24,1
164.24,153.51,350.0,Regular,0,84,4.1,0
85.65,101.7,508.0,Weekend,0,111,4.97,1
159.23,172.59,417.0,Weekend,0,99,3.65,1
105.17,107.31,380.0,Regular,0,168,3.6,1
144.85,149.49,304.0,Regular,0,117,4.81,1
145.03,144.0,378.0,Regular,1,45,3.23,0
130.37,126.03,379.0,Regular,0,137,4.87,1
63.54,80.16,475.0,Weekend,0,182,4.56,1
175.3,160.32,332.0,Weekend,1,99,3.78,0
98.12,94.85,505.0,Weekend,1,77,3.17,1
77.98,71.76,397.0,Regular,1,189,3.04,1
56.12,56.04,526.0,Weekend,1,176,3.75,1
138.63,136.94,341.0,Regular,0,176,4.41,1
151.63,152.39,351.0,Regular,1,156,3.98,1
52.49,38.08,444.0,Holiday,1,97,4.48,1
126.81,127.34,535.0,Holiday,0,140,4.34,0
83.97,73.67,469.0,Holiday,0,91,4.15,1
146.78,134.15,339.0,Weekend,0,21,4.93,1
76.15,58.75,563.0,Holiday,0,21,4.46,1
153.64,164.15,362.0,Regular,0,130,4.83,0
108.01,105.11,515.0,Holiday,1,165,3.48,1
190.51,195.58,403.0,Weekend,0,88,4.43,0
70.63,79.73,503.0,Holiday,0,141,4.2,0
101.16,108.33,434.0,Regular,0,170,4.85,1
67.02,65.84,425.0,Regular,1,38,4.02,1
188.7,184.22,340.0,Regular,0,38,3.56,1
181.6,176.64,282.0,Regular,0,131,3.77,1
88.69,94.29,394.0,Weekend,1,196,3.44,1
149.0,148.79,339.0,Weekend,0,192,3.44,0
172.58,186.55,460.0,Holiday,0,47,3.94,0
133.28,148.27,408.0,Weekend,0,94,4.79,1
129.45,116.27,326.0,Regular,1,69,3.38,0
86.28,71.73,395.0,Holiday,1,158,3.58,1
63.97,69.18,579.0,Holiday,0,74,4.71,0
184.58,176.63,317.0,Regular,0,156,3.68,1
185.06,165.81,307.0,Regular,1,161,4.92,1
144.97,160.51,391.0,Regular,1,132,3.54,1
100.85,89.93,393.0,Weekend,1,168,3.88,1
102.38,119.55,438.0,Regular,1,67,3.19,0
158.89,167.59,327.0,Regular,0,77,4.98,1
184.57,195.07,402.0,Holiday,1,156,4.78,1
183.06,171.12,265.0,Regular,1,37,4.64,1
166.98,156.35,345.0,Regular,1,31,3.31,0
146.3,147.16,512.0,Holiday,1,143,4.94,1
62.62,49.5,489.0,Weekend,0,35,4.86,0
74.24,66.46,479.0,Weekend,1,184,3.87,0
184.78,177.64,392.0,Holiday,1,167,4.36,0
140.96,127.35,370.0,Regular,1,39,4.98,1
51.38,39.59,422.0,Weekend,0,162,3.82,1
65.22,76.76,445.0,Regular,1,44,3.23,1
149.53,136.21,344.0,Regular,1,164,4.74,1
50.76,31.9,379.0,Regular,0,31,3.95,1
74.12,79.3,545.0,Holiday,1,128,4.97,0
132.31,151.35,464.0,Weekend,1,189,4.1,0
153.78,147.03,416.0,Holiday,0,58,3.06,0
147.79,132.54,400.0,Weekend,0,90,3.98,1
83.64,86.46,480.0,Weekend,0,66,4.44,1
156.83,173.08,386.0,Regular,0,44,3.05,1
85.59,96.95,466.0,Weekend,0,197,3.83,1
98.81,103.71,381.0,Regular,0,137,3.31,0
161.97,154.58,384.0,Weekend,0,52,4.29,0
147.44,149.12,323.0,Regular,0,48,4.91,1
177.38,161.03,325.0,Regular,0,22,4.25,1
148.64,155.8,471.0,Weekend,1,58,4.39,0
135.25,144.25,334.0,Regular,0,23,3.79,0
64.05,82.65,488.0,Regular,1,184,4.13,1
105.16,95.57,389.0,Regular,0,114,4.09,0
89.78,70.52,402.0,Regular,0,153,4.52,1
86.6,88.42,426.0,Weekend,0,157,4.71,1
195.95,204.22,394.0,Weekend,1,31,4.33,1
108.96,120.58,548.0,Holiday,1,137,4.96,1
183.81,171.56,268.0,Regular,1,85,4.66,1
144.67,135.14,357.0,Regular,0,150,3.25,0
169.22,169.73,334.0,Regular,1,83,4.01,1
125.4,118.62,390.0,Weekend,0,54,4.81,1
136.54,150.96,349.0,Regular,1,171,4.89,1
123.88,122.83,327.0,Regular,0,194,3.76,1
79.29,91.27,479.0,Weekend,0,131,4.45,1
158.37,161.59,370.0,Holiday,0,71,3.82,1
92.12,103.04,640.0,Holiday,1,53,3.25,1
53.65,46.95,452.0,Regular,0,103,4.77,1
146.82,160.08,406.0,Regular,0,99,4.86,0
76.57,67.55,439.0,Weekend,0,130,4.01,0
191.07,192.91,363.0,Weekend,1,172,3.04,1
193.09,181.65,297.0,Regular,0,176,4.63,0
187.23,186.25,308.0,Regular,1,111,3.95,1
105.52,98.25,392.0,Regular,1,60,3.15,1
52.32,42.99,441.0,Regular,1,106,3.38,1
189.25,207.93,392.0,Weekend,1,70,3.3,1
114.23,100.63,379.0,Regular,1,145,4.37,1
195.0,206.49,380.0,Weekend,0,165,3.6,1
194.54,213.91,333.0,Regular,0,60,3.26,1
177.95,158.75,291.0,Weekend,1,118,4.84,1
94.17,102.13,451.0,Regular,0,126,4.91,1
107.76,97.88,451.0,Weekend,0,43,3.28,1
177.67,159.29,249.0,Regular,1,66,3.46,0
97.54,93.65,411.0,Weekend,0,47,4.18,1
75.42,92.83,471.0,Weekend,1,55,3.3,0
133.52,113.99,358.0,Regular,1,40,3.32,0
190.42,193.94,458.0,Holiday,0,88,3.67,1
154.4,154.46,281.0,Regular,0,173,4.9,0
135.51,150.44,411.0,Regular,0,63,4.92,1
64.58,47.94,382.0,Regular,1,180,4.68,1
142.25,149.51,331.0,Regular,0,173,4.39,1
198.51,205.71,255.0,Regular,0,140,4.44,1
71.01,77.78,478.0,Regular,1,169,3.94,0
127.75,145.44,399.0,Regular,0,167,4.06,1
181.61,194.53,391.0,Holiday,0,21,4.27,0
161.12,142.79,464.0,Holiday,0,60,4.46,1
154.55,153.4,320.0,Regular,0,73,3.19,1
155.37,151.29,347.0,Weekend,0,165,3.45,0
103.92,96.33,381.0,Weekend,1,152,4.93,1
94.04,92.09,402.0,Weekend,0,65,3.67,0
171.4,166.77,336.0,Weekend,0,94,3.54,0
171.52,168.81,278.0,Regular,0,168,3.84,0
180.06,199.23,366.0,Regular,0,169,3.58,0
186.99,170.53,293.0,Regular,1,22,3.18,1
126.7,143.59,379.0,Regular,0,28,3.42,0
125.23,124.44,452.0,Weekend,1,21,4.28,1
169.74,174.69,317.0,Weekend,0,47,3.45,1
147.49,160.7,470.0,Weekend,1,53,4.3,1
155.3,149.71,321.0,Regular,0,78,3.2,1
169.37,166.59,453.0,Holiday,0,29,3.08,1
183.5,179.88,313.0,Weekend,0,102,4.72,1
100.7,95.69,386.0,Regular,1,112,4.52,0
106.34,123.36,394.0,Regular,0,21,4.33,1
64.1,77.25,432.0,Weekend,0,67,3.06,0
136.74,121.1,402.0,Weekend,1,153,3.48,1
55.39,39.72,430.0,Regular,0,63,4.62,1
119.84,116.95,351.0,Regular,0,55,3.29,1
131.4,115.34,366.0,Weekend,1,155,4.63,0
92.98,97.74,397.0,Weekend,0,102,4.17,0
138.62,124.37,304.0,Regular,1,29,4.48,1
54.58,55.47,389.0,Regular,0,180,4.29,1
55.6,35.89,353.0,Regular,0,121,3.83,1
173.39,166.05,317.0,Regular,0,112,3.58,1
104.03,111.12,436.0,Regular,1,38,4.35,1
69.06,68.42,503.0,Weekend,1,37,4.61,1
128.34,147.47,590.0,Holiday,1,134,3.09,0
165.5,180.46,320.0,Regular,0,198,3.76,1
82.37,76.74,406.0,Regular,1,42,3.7,1
143.43,125.25,268.0,Regular,0,148,4.12,1
62.8,76.63,516.0,Holiday,0,78,3.23,1
57.75,74.2,526.0,Regular,1,126,4.87,0
129.7,142.53,467.0,Weekend,0,150,4.1,1
131.1,116.21,342.0,Regular,0,29,4.85,1
145.61,165.53,494.0,Holiday,0,142,4.63,1
158.91,149.26,384.0,Regular,1,68,3.38,0
196.38,205.35,316.0,Regular,0,75,3.26,1
127.45,143.77,481.0,Weekend,0,109,4.72,1
98.44,87.87,404.0,Weekend,1,163,4.07,1
169.28,185.61,312.0,Regular,0,58,3.04,1
90.62,83.0,425.0,Regular,0,128,4.87,1
115.85,134.9,412.0,Weekend,1,115,3.95,1
61.77,53.02,505.0,Weekend,1,63,3.6,1
53.8,71.94,504.0,Weekend,0,27,4.03,0
194.4,176.54,314.0,Regular,1,155,4.65,1
175.4,183.77,325.0,Weekend,0,64,3.22,0
154.4,155.68,346.0,Holiday,0,158,3.72,1
111.34,110.46,369.0,Regular,0,116,3.64,1
75.99,64.93,384.0,Regular,0,172,4.68,1
73.47,81.69,621.0,Holiday,0,36,4.56,1
87.54,75.17,424.0,Regular,1,102,3.8,1
132.38,134.5,365.0,Regular,1,98,4.33,0
157.19,147.32,324.0,Regular,1,75,3.79,1
149.03,167.25,429.0,Weekend,1,63,4.14,0
91.99,73.14,368.0,Regular,0,72,4.98,1
193.23,181.22,321.0,Weekend,0,182,4.07,1
160.68,150.38,380.0,Weekend,1,58,4.98,0
133.15,129.72,554.0,Holiday,1,149,4.49,1
141.76,131.07,316.0,Regular,1,117,3.24,1
112.94,112.59,419.0,Regular,0,44,4.59,1
87.16,102.06,405.0,Regular,0,185,3.32,1
103.4,111.88,453.0,Weekend,0,99,4.06,1
163.68,166.88,344.0,Regular,0,51,4.23,1
52.16,35.72,443.0,Regular,0,98,4.78,1
67.41,75.17,462.0,Weekend,0,97,3.42,0
56.9,43.56,438.0,Regular,1,188,4.75,0
56.11,67.56,542.0,Weekend,0,98,4.87,1
178.32,168.32,320.0,Regular,0,90,3.18,0
155.55,152.23,462.0,Holiday,1,26,4.77,1
121.13,115.14,381.0,Regular,0,37,3.52,0
64.68,79.03,430.0,Regular,0,36,3.16,1
123.74,108.8,304.0,Regular,0,136,4.92,1
121.02,123.65,389.0,Weekend,1,123,3.78,1
75.98,61.66,439.0,Weekend,0,96,4.25,1
115.08,123.27,530.0,Holiday,1,78,4.11,1
109.78,125.98,400.0,Regular,0,30,3.43,1
142.38,139.76,380.0,Regular,0,144,4.34,1
145.26,144.79,392.0,Weekend,0,70,3.09,0
56.8,73.89,598.0,Holiday,0,26,3.41,1
106.19,107.03,374.0,Regular,0,174,4.89,1
143.88,143.38,390.0,Regular,1,56,4.91,1
125.47,128.6,435.0,Weekend,0,24,3.97,0
178.47,186.04,326.0,Weekend,1,81,3.34,1
148.8,133.08,388.0,Weekend,1,93,3.84,0
74.44,87.28,456.0,Regular,1,109,4.75,1
60.59,58.01,386.0,Regular,0,98,3.14,1
146.36,129.26,316.0,Regular,1,74,3.26,1
53.98,65.42,512.0,Weekend,0,163,4.79,1
137.87,132.94,372.0,Regular,0,111,3.83,0
191.03,175.05,379.0,Weekend,1,93,3.17,1
136.32,141.67,409.0,Weekend,0,75,3.28,1
108.23,123.43,436.0,Regular,1,198,4.76,1
146.49,162.0,349.0,Weekend,0,193,3.98,1
118.74,137.04,391.0,Weekend,0,80,3.33,0
131.84,146.55,360.0,Regular,0,123,4.79,1
191.22,171.31,387.0,Holiday,0,136,4.69,1
107.92,103.13,384.0,Regular,0,97,3.05,1
194.18,206.92,364.0,Regular,0,52,4.16,1
185.8,180.45,355.0,Regular,1,74,3.49,1
79.37,83.43,613.0,Holiday,1,37,4.07,1
60.4,64.66,480.0,Weekend,1,159,3.56,1
65.12,59.72,559.0,Holiday,1,93,3.63,1
52.73,68.91,539.0,Weekend,0,40,4.2,1
64.17,64.3,462.0,Regular,1,116,4.08,1
152.45,151.04,381.0,Weekend,0,173,3.79,1
60.68,80.58,473.0,Weekend,0,168,3.22,1
97.85,97.59,437.0,Regular,1,169,4.94,1
176.73,163.87,276.0,Regular,0,65,3.35,0
53.49,54.01,502.0,Regular,1,60,4.27,1
172.17,184.73,367.0,Weekend,0,24,3.17,0
92.28,103.35,378.0,Regular,0,63,4.38,1
67.72,79.27,433.0,Regular,0,163,3.19,1
154.51,162.83,352.0,Weekend,0,182,3.46,1
144.34,134.51,330.0,Weekend,1,24,4.29,1
181.62,196.1,401.0,Weekend,1,81,3.57,1
160.26,176.0,336.0,Regular,0,109,4.07,1
170.52,158.29,364.0,Weekend,0,45,3.25,1
92.31,77.52,377.0,Regular,0,80,3.4,1
76.62,95.64,426.0,Regular,1,198,4.47,1
162.59,177.33,347.0,Regular,0,88,3.07,0
171.03,186.75,380.0,Holiday,1,69,3.22,1
198.58,214.03,350.0,Weekend,1,144,3.43,0
111.89,113.56,524.0,Holiday,1,55,3.04,1
105.8,111.66,398.0,Weekend,0,171,3.19,1
166.46,168.28,334.0,Regular,1,49,3.56,1
101.12,83.17,425.0,Holiday,1,88,3.19,1
189.61,199.43,376.0,Weekend,1,195,4.73,0
178.76,178.98,353.0,Holiday,1,41,3.13,1
114.35,120.26,425.0,Weekend,0,52,4.72,0
162.63,162.74,382.0,Regular,1,88,4.65,0
163.18,162.85,386.0,Regular,1,115,3.2,1
65.47,52.34,427.0,Regular,1,69,3.05,1
185.38,176.53,392.0,Weekend,1,42,3.1,0
125.79,112.14,327.0,Regular,0,157,4.18,0
173.97,161.8,282.0,Regular,0,183,4.34,1
98.01,116.93,471.0,Weekend,1,133,4.24,1
184.33,170.45,321.0,Weekend,0,36,4.08,1
108.38,99.15,379.0,Regular,0,110,3.35,0
51.63,55.25,469.0,Regular,0,155,4.68,1
185.81,190.21,336.0,Regular,1,191,3.66,1
63.69,49.85,453.0,Weekend,0,141,4.97,1
97.9,109.65,451.0,Weekend,0,153,3.77,0
192.51,203.92,364.0,Regular,0,90,3.53,1
192.59,182.08,321.0,Regular,1,109,4.79,1
136.02,127.56,373.0,Regular,1,184,4.13,0
144.78,162.3,419.0,Regular,0,73,4.44,1
117.27,130.29,440.0,Weekend,0,42,3.82,1
93.98,101.89,403.0,Regular,1,70,4.77,0
99.3,82.59,338.0,Regular,1,77,4.84,1
150.88,147.61,328.0,Regular,1,166,3.87,1
162.86,165.23,426.0,Weekend,1,174,3.48,1
168.74,156.23,324.0,Weekend,1,44,4.3,1
168.44,166.37,276.0,Regular,0,168,4.91,0
63.68,67.72,391.0,Regular,0,142,4.24,1
124.16,117.26,331.0,Regular,1,44,4.91,1
58.63,69.87,500.0,Regular,1,144,3.69,1
132.43,146.05,353.0,Regular,0,198,4.83,0
116.23,109.17,404.0,Regular,1,90,3.23,1
183.16,196.7,423.0,Holiday,1,54,3.72,0
102.64,86.78,468.0,Holiday,1,89,3.99,1
67.56,81.07,459.0,Holiday,0,123,4.31,1
71.45,57.56,331.0,Regular,0,197,3.59,1
164.23,147.54,338.0,Weekend,1,162,4.85,1
142.73,148.4,400.0,Weekend,0,171,4.81,0
65.17,64.05,417.0,Regular,0,68,4.6,0
62.62,78.93,439.0,Regular,1,87,3.23,1
155.15,149.67,360.0,Regular,1,26,3.16,0
60.91,52.4,459.0,Weekend,0,113,4.0,0
173.28,173.31,289.0,Regular,1,147,4.53,1
155.94,154.17,472.0,Holiday,0,100,3.25,1
62.2,55.98,451.0,Holiday,0,57,4.28,1
62.73,70.48,651.0,Holiday,1,113,4.06,0
198.0,208.38,363.0,Weekend,1,64,4.45,0
106.14,120.26,474.0,Weekend,0,122,3.87,1
105.6,124.51,449.0,Regular,0,156,4.39,1
171.92,162.59,312.0,Weekend,0,74,3.32,1
192.09,200.73,336.0,Regular,1,71,3.43,1
197.9,193.67,416.0,Holiday,1,130,4.81,0
163.01,170.09,454.0,Holiday,0,68,3.66,1
106.44,105.48,401.0,Regular,0,89,4.97,0
62.53,82.28,457.0,Regular,0,130,3.09,0
166.57,175.73,397.0,Regular,1,150,3.99,1
133.76,151.86,391.0,Regular,1,87,3.65,1
113.63,127.03,361.0,Regular,0,120,4.99,0
185.95,202.07,408.0,Regular,1,57,4.98,1
66.68,79.26,467.0,Regular,0,68,3.47,1
123.89,122.26,378.0,Regular,0,111,3.53,0
51.7,41.77,607.0,Holiday,0,27,4.5,0
120.3,115.11,348.0,Regular,0,135,4.78,1
58.45,39.25,450.0,Weekend,1,114,4.33,1
67.82,68.78,500.0,Weekend,1,192,4.73,1
67.63,67.83,417.0,Regular,0,48,3.13,1
147.38,148.39,403.0,Holiday,0,98,4.28,1
161.91,180.87,387.0,Weekend,0,196,4.4,1
137.51,153.96,578.0,Holiday,0,43,3.38,0
194.33,180.79,241.0,Regular,1,168,4.56,1
106.23,100.99,462.0,Holiday,1,132,4.89,1
92.86,89.82,393.0,Weekend,0,42,4.8,1
180.29,174.71,322.0,Regular,0,114,3.49,0
83.54,95.48,474.0,Weekend,0,175,3.65,1
194.48,195.44,473.0,Holiday,1,179,4.0,0
51.82,54.71,431.0,Weekend,0,169,3.32,0
195.48,209.6,441.0,Holiday,0,86,4.91,1
56.47,68.71,431.0,Weekend,0,137,3.32,1
183.67,168.96,410.0,Holiday,0,92,4.52,1
129.16,137.71,427.0,Weekend,0,25,3.68,0
198.94,196.36,287.0,Regular,1,84,4.15,1
61.07,52.86,472.0,Regular,1,41,3.09,1
133.08,115.08,344.0,Regular,0,198,3.41,0
195.4,194.89,275.0,Weekend,0,128,3.89,1
128.46,122.68,408.0,Weekend,1,135,4.35,0
144.41,134.47,328.0,Regular,1,74,4.56,1
154.36,162.15,389.0,Holiday,0,189,3.06,1
118.18,128.96,396.0,Regular,1,199,3.3,0
144.13,133.93,412.0,Weekend,1,38,4.46,0
137.65,119.63,298.0,Regular,0,127,4.63,1
185.17,199.12,305.0,Weekend,0,148,3.47,1
56.82,37.22,442.0,Weekend,1,188,3.46,1
92.14,109.63,502.0,Regular,1,67,3.18,1
192.56,197.67,317.0,Regular,0,179,3.3,0
183.54,176.41,336.0,Weekend,0,197,3.02,1
118.35,108.21,312.0,Regular,0,161,4.18,0
143.02,123.38,497.0,Holiday,1,36,4.81,0
91.61,81.03,487.0,Holiday,0,115,3.3,1
78.22,63.73,400.0,Regular,0,49,4.5,1
119.55,124.04,435.0,Regular,1,140,4.15,0
103.0,89.66,379.0,Regular,0,130,4.88,0
137.55,138.69,413.0,Weekend,1,198,4.6,1
61.66,65.26,565.0,Holiday,0,117,4.71,1
196.16,188.08,248.0,Regular,0,171,4.28,0
197.93,179.33,242.0,Weekend,0,139,4.62,0
154.72,136.21,390.0,Weekend,1,161,3.7,1
130.41,111.47,386.0,Weekend,1,53,3.42,0
96.43,105.99,544.0,Holiday,0,130,4.83,1
172.07,164.79,337.0,Weekend,1,105,4.47,1
152.71,164.56,428.0,Weekend,1,180,3.18,1
74.39,71.66,396.0,Regular,0,127,4.73,1
186.64,184.76,265.0,Regular,0,137,3.7,1
173.38,173.9,429.0,Holiday,0,130,3.6,1
192.47,200.99,399.0,Weekend,1,77,4.25,1
158.86,149.8,352.0,Weekend,1,37,4.14,1
142.01,126.88,351.0,Holiday,0,130,4.08,1
112.74,114.98,393.0,Regular,0,122,3.51,1
189.91,182.99,271.0,Regular,0,159,4.92,1
179.91,177.61,298.0,Regular,0,149,4.9,1
56.78,62.66,481.0,Regular,0,47,3.01,1
53.96,53.72,502.0,Weekend,0,139,3.68,1
106.47,111.28,436.0,Weekend,0,142,3.09,1
171.58,173.35,334.0,Regular,1,61,4.7,1
198.09,207.68,310.0,Regular,0,22,4.77,0
72.56,80.8,431.0,Weekend,0,195,4.04,1
139.12,140.49,400.0,Weekend,0,106,4.68,1
107.13,114.29,374.0,Regular,0,160,4.41,1
195.49,210.43,393.0,Holiday,1,76,4.0,1
176.32,173.61,348.0,Regular,0,150,3.73,1
175.75,172.26,283.0,Regular,0,133,3.53,0
